"amazon_vaqueros_man_images_id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/4gPJw9h","https://images-eu.ssl-images-amazon.com/images/I/81l7s9hMdUS._AC_UL165_SR165,165_.jpg","RED BRIDGE Vaqueros para Hombre Jeans Denim Pants Estilo Destroyed","RED BRIDGE","59.90","frente"
"2","https://amzn.to/3Nef1w0","https://images-eu.ssl-images-amazon.com/images/I/81YK4ydYHqL._AC_UL165_SR165,165_.jpg","Redbridge Vaqueros de Hombres Denim Ice Destruida Pantalones Moda Jeans","RED BRIDGE","59.90","frente"
"3","https://amzn.to/4eME4SL","https://images-eu.ssl-images-amazon.com/images/I/71z5+-nqkQL._AC_UL165_SR165,165_.jpg","Pantalones vaqueros para hombre Merish Destroyed 2081-1001, corte ajustado","MERISH","39.90","frente"
"4","https://amzn.to/4dugppi","https://images-eu.ssl-images-amazon.com/images/I/71TwUoI5aPS._AC_UL165_SR165,165_.jpg","JACK & JONES Vaqueros Skinny para Hombre","JACK & JONES","49.95","frente"
