"amazon_atuendo1_id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/4lTSJjC","https://images-eu.ssl-images-amazon.com/images/I/41jJjLahRvL._AC_UL165_SR165,165_.jpg","Litthing Pantalones de Lino para Hombre Pantalon de Jogging Algodón Pants Casuales de Verano con Bolsillos Pantalones Holgados con Cordón Pantalon Cómodos y Ligeros","Litthing","23.99","*"
"2","https://amzn.to/42F9DcE","https://images-eu.ssl-images-amazon.com/images/I/61BseMdxjBL._AC_UL100_SR100,100_.jpg","URBAN CLASSICS Camiseta básica de manga corta, cuello redondo normal, de algodón grueso, largo normal, oversized, de hombre, moderna, en distintos colores, tallas S - 5XL","Urban Classics","17.99","*"
"3","https://amzn.to/3YQO2gl","https://m.media-amazon.com/images/I/71NAfO7zbjL._AC_SX569_.jpg","JACK & JONES Jprblubrook Jacket Pls Página de transición para Hombre","JACK & JONES","36.81","*"
"4","https://amzn.to/4lTT45S","https://images-eu.ssl-images-amazon.com/images/I/51wtZTJTRJL._AC_UL100_SR100,100_.jpg","Pepe Jeans Badge Monedero con Tarjetero Marrón 11x7x1,5 cms Piel","Pepe Jeans","25","*"
"5","https://amzn.to/4jMDszH","https://images-eu.ssl-images-amazon.com/images/I/41yB3HYZewL._AC_UL100_SR100,100_.jpg","adidas Advantage 2.0 Shoes, Zapatillas de Deporte Hombre","adidas","64.15","*"
