"amazon_atuendo1_id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/431EPod","https://images-eu.ssl-images-amazon.com/images/I/61A5rpxOQQL._AC_SR300,375,0,C_BR3_.jpg","Pantalones deportivos para hombre","Csqtongan","22.99","frente"
"2","https://amzn.to/42PmAlF","https://images-eu.ssl-images-amazon.com/images/I/415Doe1bDgL._AC_SR185,210,0,C_BR3_.jpg","hummel","hummel","19.99","*"
"3","https://amzn.to/4mf6eKQ","https://images-eu.ssl-images-amazon.com/images/I/613yJxUe3fL._AC_SR185,210,0,C_BR3_.jpg","Casio CASIO G-Shock G Shock Reloj de pulsera para hombre","Casio","129.00","*"
"4","https://amzn.to/4mrHMWP","https://images-eu.ssl-images-amazon.com/images/I/71fZq3ZS4EL._AC_SR185,210,0,C_BR3_.jpg","adidas Response Runner Shoes, Zapatillas para Correr Hombre","adidas","55.99","*"
"5","https://amzn.to/3RYFQqD","https://images-eu.ssl-images-amazon.com/images/I/71hH-0bVi1L._AC_SR185,210,0,C_BR3_.jpg","Eastpak CREW SINGLE Cartera - Army Olive (Verde)","EASTPAK","15.99","*"
