"id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/4mfU3wh","https://m.media-amazon.com/images/I/81niJJ0tomL._AC_SX679_.jpg","Vancavoo Chaqueta de Invierno Militar para Hombres Cortavientos Chaqueta Cálido Lana Forro Solapa Abrigos Gruesa Chaqueta de Carga Casual con Múltiples Bolsillos Algodón","Vancavoo","52.99","frente"
"2","https://amzn.to/4o9X2bD","https://m.media-amazon.com/images/I/61agpoJvJvL._AC_SX679_.jpg","KEFITEVD Chaquetas de Invierno de Vellón para Hombre Chaqueta Militar Gruesa y Cálida Multibolsillos Cortaviento Chaqueta de Trabajo","KEFITEVD","81.99","frente"
"3","https://amzn.to/4ofdYNS","https://m.media-amazon.com/images/I/61tTOT2wzrL._AC_SY741_.jpg","HOOD CREW Chaquetas de algodón militar para hombres Ropa de camping a prueba de viento al aire libre","HOOD CREW","69.99","frente"
"4","https://amzn.to/4mkfr3y","https://m.media-amazon.com/images/I/7155p8b+nBL._AC_SX679_.jpg","FLAVOR Chaqueta de Cuero Hombre para Auténtico Capucha Desmontable","FLAVOR","169.99","frente"
"5","https://amzn.to/3ITR66i","https://m.media-amazon.com/images/I/71tqe0KQRiL._AC_SX679_.jpg","KEFITEVD Chaqueta de Carga de los Hombres Militares Chaqueta de Campo de EE. UU. Bolsillos múltiples Stand Collar Bomber Blouson Transición Chaqueta Casual","KEFITEVD","71.98","frente"
"6","https://amzn.to/3ITPWrs","https://m.media-amazon.com/images/I/71EPtYNkwhL._AC_SX569_.jpg","WenVen Chaqueta de Algodón Casual Otoño Chaqueta Fina Militar Joven Cazadora Ligera Entretiempo Chaqueta Clásica al Aire Libre Cuello Alto Hombre","WenVen","68.99","frente"
"7","https://amzn.to/46vfjK3","https://m.media-amazon.com/images/I/61hycepdRvL._AC_SX679_.jpg","Wantdo Chaqueta Clásica al Aire Libre Cazadora Hombre Militar Entretiempo Otoño Chaqueta Algodón Casual Collar de Pie | Chaquetas Hombre Primavera Verano Aviador Cazadora Entretiempo Caballero","Wantdo","69.99","frente"
"8","https://amzn.to/4ofxJEO","https://m.media-amazon.com/images/I/91qS8TryGaL._AC_SX679_.jpg","MERCIYD Chaqueta Algodón Casual Clásica Otoño para Hombre Cuello Alto Múltiples Bolsillos Chaqueta Militar Carga de Sahariana Cortavientos Informal","MERCIYD","69.99","frente"
