"amazon_atuendo4_id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/455zddM","https://m.media-amazon.com/images/I/814YPKRihLL._AC_SX575_.jpg","Munich Massana, Zapatillas Unisex Adulto, EU","Munich","112.70","izquierda"
"2","https://amzn.to/4395jTr","https://images-eu.ssl-images-amazon.com/images/I/71T9s5Ww22L._AC_SR185,210,0,C_BR3_.jpg","G-STAR Vaqueros para Hombre","G-STAR","84.90","frente"
"3","https://amzn.to/4jRJQph","https://images-eu.ssl-images-amazon.com/images/I/71bMVHCeL3L._AC_SR185,210,0,C_BR3_.jpg","Marvel Camiseta para Hombre","Marvel","17.73","frente"
"4","https://amzn.to/4m5NAFf","https://images-eu.ssl-images-amazon.com/images/I/81Q+O8zrTnL._AC_SR185,210,0,C_BR3_.jpg","Victorinox Altius Alox Slim Card Case","Victorinox","45.00","*"
"5","https://amzn.to/3RXEZq7","https://images-eu.ssl-images-amazon.com/images/I/71DLMPtY41L._AC_UL165_SR165,165_.jpg","DC Shoes Baggoff, Riñonera para Hombre, Talla única","DC Shoes","19.01","*"
